DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/14/2016,21:15,MANHATTAN,10036,40.7631147,-73.9996498,"(40.7631147, -73.9996498)",WEST 44 STREET                  ,12 AVENUE                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3448135,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:15,BROOKLYN,11232,40.6538564,-74.0081666,"(40.6538564, -74.0081666)",3 AVENUE                        ,39 STREET                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441583,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:15,BRONX,10473,40.8221538,-73.8621721,"(40.8221538, -73.8621721)",                                ,                                ,820 THIERIOT AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442184,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:12,MANHATTAN,10111,40.7590642,-73.9784504,"(40.7590642, -73.9784504)",WEST 50 STREET                  ,ROCKEFELLER PLAZA               ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3448139,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:10,STATEN ISLAND,10312,40.5597825,-74.169637,"(40.5597825, -74.169637)",                                ,                                ,3250 RICHMOND AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442925,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:08,QUEENS,11378,40.7259847,-73.8914107,"(40.7259847, -73.8914107)",                                ,                                ,69-95 QUEENS MIDTOWN EXPRESSWAY         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442660,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:06,BROOKLYN,11203,40.655397,-73.9297608,"(40.655397, -73.9297608)",EAST 51 STREET                  ,LENOX ROAD                      ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443297,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,21:05,BROOKLYN,11217,,,,FLATBUSH AVENUE                 ,4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442571,PASSENGER VEHICLE,,,,
05/14/2016,21:05,BRONX,10459,40.8273598,-73.8866599,"(40.8273598, -73.8866599)",                                ,                                ,1296 WESTCHESTER AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441512,PASSENGER VEHICLE,,,,
05/14/2016,21:00,,,,,,                                ,                                ,1775 SOUTH AVENUE                       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441844,PASSENGER VEHICLE,OTHER,,,
